 Unix Time (secs) ,Temperature C , Humidity , Carbon Dioxide level (ppm) , Oxidising gases (ppm) , Reducing gases (ppm) , NH3 (ppm) , Front ultrasonic distance(mm) , rear ultrasonic distance(mm) 
1678190543651.375,28,22,555,1031,65591,4747,81,154
1678190545099.4739,28,21,555,1102,66369,5480,127,109
1678190546548.8901,28,22,555,1116,66697,6163,146,93
1678190548014.96,28,22,555,1187,68024,6931,467,189
1678190550860.068,28,21,555,1258,69175,8325,124,157
1678190552296.5059,28,21,555,1287,69517,9000,79,155
1678190555204.8909,28,21,555,1387,69655,10431,499,493
1678190556686.096,28,21,555,1402,70766,11230,1002,130
1678190559459.437,28,21,555,1488,71329,12700,142,93
1678190560902.139,28,21,555,1517,71542,13449,140,98
1678190563811.058,28,21,555,1589,72183,15085,488,567
1678190565354.5288,28,21,555,1633,72040,15887,1002,999
1678190568239.014,28,21,555,1691,72255,17382,1002,124
1678190569700.977,28,21,555,1720,72255,18094,626,120
1678190572467.164,28,21,555,1807,73267,19658,169,67
1678190573962.775,28,21,555,1807,73413,20491,1002,236
1678190576858.041,28,21,555,1894,74000,22027,1002,999
1678190578335.5042,28,21,554,1924,73413,22750,140,570
1678190579827.812,28,21,555,1938,73413,23542,225,999
1678190582750.093,28,21,555,2012,73340,24917,531,452
1678190584228.727,28,21,554,2041,73413,25580,1002,124
1678190587087.713,28,21,554,2115,73926,26937,165,77
1678190588536.5032,28,21,554,2129,73853,27602,158,77
1678190591352.2961,28,21,554,2188,74295,29122,1002,266
1678190592895.295,28,21,554,2247,74370,29791,1002,999
1678190595830.3271,28,21,554,2292,74741,31062,1002,999
1678190597323.029,28,21,554,2336,74148,31694,238,999
1678190600185.4019,28,21,554,2396,74592,32780,1002,852
1678190601685.896,28,21,553,2396,74295,32918,258,999
1678190603210.26,28,21,554,2440,74000,33369,731,999
1678190606040.7979,28,21,554,2515,73926,34569,1002,120
1678190607586.993,28,21,554,2530,74370,35072,1002,999
1678190610498.3572,28,21,554,2605,74074,36207,1002,135
1678190612034.441,28,21,554,2650,74074,36955,1002,999
1678190614811.6318,28,21,554,2710,74370,37984,164,71
1678190616305.743,28,21,554,2770,74295,38487,1002,76
1678190619199.199,28,21,554,2815,74221,39590,417,999
1678190620643.593,28,21,554,2830,73926,39670,196,146
1678190622180.9858,28,21,554,2845,74518,40353,1002,999
1678190625098.145,28,21,554,2906,74074,41169,905,103
1678190626576.174,28,21,554,2921,74667,41293,1002,109
1678190629321.2449,28,21,554,2997,75340,42252,168,70
1678190630856.352,28,21,554,3012,74000,42632,1002,920
1678190633813.385,28,21,554,3073,74518,42887,1002,999
1678190635303.948,28,21,554,3088,74074,43230,273,739
1678190638251.923,28,21,554,3164,75190,44579,553,999
1678190639780.37,28,21,555,3195,74890,44623,1002,729
1678190642558.2969,28,21,555,3256,75265,45379,57,147
1678190644107.302,28,22,555,3256,74667,45379,1002,999
1678190645577.6292,28,21,555,3286,74667,45469,480,288
1678190648434.405,28,21,555,3317,74667,45514,173,64
1678190649934.957,28,21,555,3332,74370,45649,182,999
1678190652811.6729,28,21,555,3394,74148,46147,1002,467
1678190654249.1292,28,21,555,3425,74370,47204,279,155
1678190657160.377,28,21,555,3486,75190,47158,1002,403
1678190658636.837,28,21,555,3533,75265,47953,619,345
1678190661496.915,28,21,555,3579,75040,48379,375,181
1678190662947.9102,28,21,555,3579,74444,48331,240,342
1678190665749.263,28,21,554,3610,74741,48760,379,162
1678190667212.645,28,21,553,3672,75040,48856,363,343
1678190670086.249,28,22,554,3703,75566,49048,805,343
1678190671552.533,28,21,553,3703,74592,49048,261,293
1678190674407.908,28,22,553,3765,75265,49386,1002,343
1678190675860.283,28,22,553,3765,74667,49048,256,216
1678190677380.341,28,22,553,3765,74741,49386,1002,344
1678190680185.246,28,21,553,3812,74592,49289,116,343
1678190681656.6401,28,22,553,3843,74816,49483,755,145
1678190684560.05,28,22,552,3890,74518,49726,1002,346
1678190686034.358,28,22,552,3922,74148,50167,728,219
1678190688924.4722,28,22,552,3953,74295,49970,1002,343
1678190690430.335,28,22,552,4000,74592,50118,1002,343
1678190693314.825,28,22,552,4031,74148,50413,594,344
1678190694761.607,28,22,552,4016,74444,50314,143,232
1678190697630.544,28,22,553,4110,74816,50810,430,164
1678190699174.4512,28,22,553,4126,74148,51309,1002,999
1678190700714.76,28,22,553,4173,74295,51662,1002,999
1678190703497.571,28,22,553,4236,74295,52272,84,102
1678190704942.61,28,21,553,4236,74741,52170,107,142
1678190707857.513,28,21,553,4252,74518,51865,1002,274
1678190709331.752,28,21,553,4268,74370,51662,757,114
1678190712156.239,28,21,553,4300,74444,52221,193,999
1678190713634.298,28,21,552,4300,74444,52221,1002,99
1678190716478.291,28,21,553,4331,74444,52068,110,133
1678190717899.7742,28,21,553,4347,73926,52221,100,141
1678190720695.167,28,21,553,4443,74741,52580,216,172
1678190722129.7852,28,21,553,4459,74370,52682,256,113
1678190725016.43,28,21,553,4555,75190,53565,1002,301
1678190726473.624,28,21,553,4523,74741,53670,185,196
1678190729416.685,28,21,554,4619,74518,54197,1002,902
1678190730859.8372,28,21,554,4587,74592,54091,121,130
1678190733664.041,28,21,554,4667,74370,54462,134,112
1678190735111.788,28,21,554,4715,74074,54462,159,83
1678190736565.625,28,21,554,4715,74074,54676,168,74
1678190739396.982,28,21,555,4715,74221,54144,1002,76
1678190740838.468,28,21,554,4763,75040,54997,211,254
1678190743693.417,28,21,554,4844,74074,54622,1002,297
1678190745142.439,28,21,555,4844,74148,55159,398,239
1678190747967.388,28,21,555,4844,74295,55212,160,84
1678190749478.6538,28,21,555,4844,74965,54676,617,698
1678190752422.73,28,21,555,4860,73633,54462,230,999
1678190753867.6719,28,21,554,4828,75945,54462,87,159
1678190756705.601,28,21,554,4844,74592,53880,1002,235
1678190758161.973,28,21,554,4892,74000,54569,394,233
1678190761016.065,28,21,554,4941,74370,54783,1002,172
1678190762479.6172,28,21,553,4973,74370,54729,558,175
1678190765325.033,28,21,553,5022,74667,55483,200,244
1678190766771.583,28,21,553,5054,74295,55212,77,171
1678190769547.948,28,21,553,5103,74741,56302,139,105
1678190770987.721,28,21,553,5152,73853,55646,138,104
1678190773768.81,28,21,553,5168,74370,55973,159,114
1678190775248.897,28,21,553,5201,74592,56247,1002,174
1678190778054.647,28,21,553,5234,74221,56522,192,139
1678190779529.899,28,21,553,5266,73779,56247,710,109
1678190782326.065,28,21,553,5266,74148,56467,96,148
1678190783769.4658,28,21,554,5266,74370,56577,142,100
1678190786570.185,28,21,554,5348,73926,56633,226,224
1678190788062.123,28,21,554,5332,74370,56577,168,999
1678190789540.21,28,21,554,5299,74074,56357,970,181
1678190792317.656,28,21,553,5316,74592,56412,92,255
1678190793769.1792,28,21,553,5299,73926,55973,137,175
1678190796538.97,28,21,554,5365,73853,55212,176,69
1678190799318.805,28,21,554,5365,73706,55973,172,72
1678190800822.9639,28,21,554,5398,73559,55809,1002,99
1678190802318.701,28,21,555,5398,73633,56247,1002,115
1678190805106.088,28,21,554,5463,74592,56799,177,95
1678190806610.2358,28,21,554,5529,73559,56357,1002,258
1678190809374.793,28,21,555,5529,74148,56910,63,180
1678190810832.4011,28,21,555,5562,74295,56577,64,183
1678190813704.277,28,21,555,5595,73926,56854,174,435
