 Unix Time (secs) ,Temperature C , Humidity , Carbon Dioxide level (ppm) , Oxidising gases (ppm) , Reducing gases (ppm) , NH3 (ppm) , Front ultrasonic distance(mm) , rear ultrasonic distance(mm) 
1678191535030.243,29,21,557,7104,70696,50167,100,994
1678191536531.717,29,21,557,7156,70347,50611,100,999
1678191538027.065,29,21,557,7139,70766,50611,101,999
1678191539512.167,29,21,557,7174,70626,50611,101,999
1678191542408.563,29,21,557,7156,70278,50462,100,1000
1678191543906.1948,29,21,557,7226,70069,50364,100,999
1678191546789.722,29,21,558,7156,70139,50265,99,999
1678191548277.7668,29,21,558,7121,70556,50216,100,999
1678191551151.719,29,21,558,7104,70906,50265,101,999
1678191552579.371,29,21,558,7156,70208,50561,99,159
1678191555463.867,29,21,558,7174,71118,50810,100,999
1678191556948.705,29,21,557,7156,70766,50611,101,999
1678191558436.812,29,21,557,7156,70626,50859,113,839
1678191561343.3079,29,21,557,7226,70836,50760,171,999
1678191562813.325,29,21,557,7296,70556,51360,194,521
1678191565631.223,29,21,558,7331,70696,51662,270,425
1678191567148.73,29,21,558,7348,70556,51259,1002,169
1678191570057.2742,29,21,557,7401,70626,51511,1002,207
1678191571597.749,29,21,557,7436,71047,51865,1002,999
1678191574455.7332,29,21,557,7383,71329,52170,1002,214
1678191576005.438,29,21,557,7436,72327,52272,1002,999
1678191577532.445,29,21,557,7471,70556,51966,1002,999
1678191580552.2659,29,21,557,7436,70977,51865,1002,999
1678191582101.5762,29,21,557,7436,71188,52068,1002,999
1678191585093.095,29,21,557,7383,70977,52221,1002,999
1678191586605.9202,29,21,557,7453,71259,51763,1003,335
1678191588154.35,29,21,557,7366,70977,51814,1003,999
1678191591143.463,29,21,557,7348,70906,51662,1002,999
1678191592693.5378,29,21,558,7348,71047,51460,1002,999
1678191595709.916,29,21,558,7383,71259,51966,1002,999
1678191597264.496,29,21,558,7383,71188,51814,1012,999
1678191598799.876,29,21,559,7401,71826,51511,1002,999
1678191601737.7888,29,21,559,7401,70347,51915,1002,182
1678191603291.477,29,21,559,7383,70836,51611,1002,999
1678191606280.354,29,21,560,7348,70626,51561,1002,999
1678191607821.5588,29,21,560,7401,70906,51159,1002,999
1678191609363.113,29,21,560,7331,70696,51109,1002,999
1678191612362.244,29,21,561,7296,69931,50561,1002,999
1678191613862.45,29,21,561,7261,70069,50561,1002,188
1678191616766.06,29,21,561,7331,71047,51360,1002,173
1678191618279.714,29,21,562,7296,70906,50660,1002,460
1678191621241.8,29,21,562,7313,70977,50660,1002,999
1678191622775.873,29,21,562,7296,70208,50512,1002,999
1678191624278.87,29,21,562,7313,70626,50512,1002,219
1678191627274.332,29,21,562,7348,70347,50710,1002,999
1678191628821.87,29,21,562,7313,70696,50561,1002,999
1678191631790.292,29,21,562,7436,70626,51309,1002,622
1678191633293.936,29,21,562,7401,70278,50810,1002,396
1678191634784.947,29,21,562,7401,70278,50909,1003,135
1678191637709.49,29,21,563,7348,71400,50909,876,98
